model	condition	run	output_id	criterion	criterion_type	verdict	ground_truth	match
claude-sonnet	A	1	fm-003	check_time_granularity	syntactic	FAIL	PASS	0
claude-sonnet	A	1	fm-003	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-003	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-003	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-003	check_margins_plausible	numeric	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	check_headcount_math	numeric	PASS	FAIL	0
claude-sonnet	A	1	fm-003	check_tax_rate	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-003	check_units_specified	syntactic	PASS	FAIL	0
claude-sonnet	A	1	fm-003	check_inputs_vs_outputs	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	rubric_assumption_quality	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	rubric_scenario_robustness	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	rubric_operational_realism	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	rubric_cash_flow_awareness	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	rubric_decision_utility	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_cash_flow_reconciles	syntactic	PASS	FAIL	0
claude-sonnet	A	1	fm-004	check_pnl_flows_to_bs	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_no_hardcoded	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	check_growth_from_assumptions	syntactic	PASS	FAIL	0
claude-sonnet	A	1	fm-004	check_unit_economics_consistent	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_three_statements	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_assumptions_page	syntactic	PASS	FAIL	0
claude-sonnet	A	1	fm-004	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_margins_plausible	numeric	FAIL	PASS	0
claude-sonnet	A	1	fm-004	check_headcount_math	numeric	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	check_tax_rate	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-004	check_inputs_vs_outputs	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	rubric_assumption_quality	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	rubric_scenario_robustness	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	rubric_operational_realism	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	rubric_cash_flow_awareness	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-004	rubric_decision_utility	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-005	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_cash_flow_reconciles	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_pnl_flows_to_bs	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-005	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_no_hardcoded	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_growth_from_assumptions	syntactic	PASS	FAIL	0
claude-sonnet	A	1	fm-005	check_unit_economics_consistent	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_three_statements	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_headcount_math	numeric	FAIL	PASS	0
claude-sonnet	A	1	fm-005	check_tax_rate	syntactic	FAIL	PASS	0
claude-sonnet	A	1	fm-005	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-005	rubric_assumption_quality	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-005	rubric_scenario_robustness	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-005	rubric_operational_realism	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-005	rubric_cash_flow_awareness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-005	rubric_decision_utility	semantic	FAIL	PASS	0
claude-sonnet	A	1	fm-006	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_cash_flow_reconciles	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_pnl_flows_to_bs	syntactic	PASS	FAIL	0
claude-sonnet	A	1	fm-006	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_no_hardcoded	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_growth_from_assumptions	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_unit_economics_consistent	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_three_statements	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_headcount_math	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_tax_rate	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-006	rubric_assumption_quality	semantic	PASS	FAIL	0
claude-sonnet	A	1	fm-006	rubric_scenario_robustness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-006	rubric_operational_realism	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-006	rubric_cash_flow_awareness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-006	rubric_decision_utility	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_cash_flow_reconciles	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-007	check_pnl_flows_to_bs	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-007	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_no_hardcoded	syntactic	FAIL	PASS	0
claude-sonnet	A	1	fm-007	check_growth_from_assumptions	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_unit_economics_consistent	syntactic	FAIL	PASS	0
claude-sonnet	A	1	fm-007	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_three_statements	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-007	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_headcount_math	numeric	FAIL	PASS	0
claude-sonnet	A	1	fm-007	check_tax_rate	syntactic	FAIL	PASS	0
claude-sonnet	A	1	fm-007	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-007	rubric_assumption_quality	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-007	rubric_scenario_robustness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-007	rubric_operational_realism	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-007	rubric_cash_flow_awareness	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-007	rubric_decision_utility	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_cash_flow_reconciles	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-008	check_pnl_flows_to_bs	syntactic	PASS	FAIL	0
claude-sonnet	A	1	fm-008	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_no_hardcoded	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_growth_from_assumptions	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_unit_economics_consistent	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_three_statements	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-008	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_headcount_math	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_tax_rate	syntactic	FAIL	PASS	0
claude-sonnet	A	1	fm-008	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-008	rubric_assumption_quality	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-008	rubric_scenario_robustness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-008	rubric_operational_realism	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-008	rubric_cash_flow_awareness	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-008	rubric_decision_utility	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_cash_flow_reconciles	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_pnl_flows_to_bs	syntactic	PASS	FAIL	0
claude-sonnet	A	1	fm-009	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_no_hardcoded	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_growth_from_assumptions	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_unit_economics_consistent	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_three_statements	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_headcount_math	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_tax_rate	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-009	rubric_assumption_quality	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-009	rubric_scenario_robustness	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-009	rubric_operational_realism	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-009	rubric_cash_flow_awareness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-009	rubric_decision_utility	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_cash_flow_reconciles	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_pnl_flows_to_bs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_no_hardcoded	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_growth_from_assumptions	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_unit_economics_consistent	syntactic	FAIL	PASS	0
claude-sonnet	A	1	fm-010	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_three_statements	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_headcount_math	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_tax_rate	syntactic	FAIL	PASS	0
claude-sonnet	A	1	fm-010	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-010	rubric_assumption_quality	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-010	rubric_scenario_robustness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-010	rubric_operational_realism	semantic	FAIL	FAIL	1
claude-sonnet	A	1	fm-010	rubric_cash_flow_awareness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-010	rubric_decision_utility	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_cash_flow_reconciles	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_pnl_flows_to_bs	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_no_hardcoded	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_growth_from_assumptions	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_unit_economics_consistent	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_three_statements	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_headcount_math	numeric	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_tax_rate	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-001	rubric_assumption_quality	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-001	rubric_scenario_robustness	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-001	rubric_operational_realism	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-001	rubric_cash_flow_awareness	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-001	rubric_decision_utility	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_cash_flow_reconciles	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_pnl_flows_to_bs	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_no_hardcoded	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_growth_from_assumptions	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_unit_economics_consistent	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_three_statements	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_headcount_math	numeric	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_tax_rate	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-002	rubric_assumption_quality	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-002	rubric_scenario_robustness	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-002	rubric_operational_realism	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-002	rubric_cash_flow_awareness	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-002	rubric_decision_utility	semantic	PASS	PASS	1
claude-sonnet	A	2	fm-003	check_balance_sheet	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	check_cash_flow_reconciles	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	check_pnl_flows_to_bs	syntactic	FAIL	PASS	0
claude-sonnet	A	2	fm-003	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-003	check_no_hardcoded	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	check_growth_from_assumptions	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	check_unit_economics_consistent	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-003	check_three_statements	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	check_assumptions_page	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	check_time_granularity	syntactic	FAIL	PASS	0
claude-sonnet	A	2	fm-003	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-003	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-003	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-003	check_margins_plausible	numeric	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	check_headcount_math	numeric	PASS	FAIL	0
claude-sonnet	A	2	fm-003	check_tax_rate	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-003	check_units_specified	syntactic	PASS	FAIL	0
claude-sonnet	A	2	fm-003	check_inputs_vs_outputs	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	rubric_assumption_quality	semantic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	rubric_scenario_robustness	semantic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	rubric_operational_realism	semantic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	rubric_cash_flow_awareness	semantic	FAIL	FAIL	1
claude-sonnet	A	2	fm-003	rubric_decision_utility	semantic	FAIL	FAIL	1
claude-sonnet	A	2	fm-004	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	2	fm-004	check_cash_flow_reconciles	syntactic	PASS	FAIL	0
claude-sonnet	A	2	fm-004	check_pnl_flows_to_bs	syntactic	FAIL	FAIL	1
claude-sonnet	A	2	fm-004	check_opening_balances	syntactic	PASS	PASS	1
